Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Population,X,Y,Latitude,Longitude,Elevation (m),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,City Generator Link
315,hilledorp,Huesterland,Huesterland en veld ,Frijdaland,Frijdaland,Daans,Slovan Deities,63,1172.31,629.64,27.86,4.64,283,13°C,Milan (Italy),,,citadel,walls,,,,{t1:argent;charges:[{charge:lionRampant;t:gules;p:jlh;t2:sable;t3:gules;size:0.7}];shield:polish},https://watabou.github.io/city-generator/?name=hilledorp&population=63&size=6&seed=467870190&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
316,hekkestoof,Huesterland,Huesterland en veld ,Frijdaland,Frijdaland,Daans,Slovan Deities,500,1174.81,585.58,28.81,4.7,283,12°C,Paris (France),,,citadel,,,,,{t1:vert;division:{division:perPale;t:argent;line:straight};charges:[{charge:skull;t:or;p:p;size:0.7};{charge:apple;t:azure;p:q;size:0.7}];shield:polish},https://watabou.github.io/city-generator/?name=hekkestoof&population=500&size=10&seed=6028841150316&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
317,Vurestad,Trolleland,Trolleland,Frijdaland,Frijdaland,Daans,Slovan Deities,4678,1110.83,704.07,26.25,3.3,7,16°C,Dubrovnik (Croatia),,,citadel,,plaza,,,{t1:argent;ordinaries:[{ordinary:bendSinister;t:sable;line:engrailed}];shield:polish},https://watabou.github.io/city-generator/?name=Vurestad&population=4678&size=23&seed=519127274&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
318,Ummeberg,Krachter Landen,Rzh Territory,Frijdaland,Frijdaland,Daans,Slovan Deities,3001,1198.62,730.94,25.66,5.22,484,14°C,Washington (D.C.),,,citadel,,,,,{t1:sable;charges:[{charge:sun;t:or;p:jln;size:0.7}];shield:polish},https://watabou.github.io/city-generator/?name=Ummeberg&population=3001&size=20&seed=6028841150318&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=true&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
319,zalsteen,Krachter Landen,Rzh Territory,Frijdaland,Frijdaland,Daans,Slovan Deities,1300,1259.17,721.1,25.88,6.54,7,17°C,Lisbon (Portugal),,,citadel,,plaza,,,{t1:argent;ordinaries:[{ordinary:fess;t:purpure;line:straight}];charges:[{charge:unicornRampant;t:argent;p:def;t2:argent;t3:purpure;size:0.5;sinister:1}];shield:polish},https://watabou.github.io/city-generator/?name=zalsteen&population=1300&size=14&seed=6028841150319&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
320,Tien huizen,Krachter Landen,Rzh Territory,Frijdaland,Frijdaland,Daans,Slovan Deities,83,1271.28,708.61,26.15,6.81,75,17°C,Lisbon (Portugal),,,citadel,,,,,{t1:vairAncien-or-vert;charges:[{charge:lozengeFaceted;t:sable;p:e;size:1.5}];shield:polish},https://watabou.github.io/city-generator/?name=Tien+huizen&population=83&size=6&seed=6028841150320&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
321,oselotrol,Krachter Landen,Rzh Territory,Frijdaland,Frijdaland,Daans,Slovan Deities,2323,1286.41,670.77,26.97,7.14,541,12°C,Paris (France),,,citadel,,,,,{t1:gules;division:{division:chevronny;t:or};charges:[{charge:crossLatin;t:argent;p:e;divided:counter;size:1.5}];shield:polish},https://watabou.github.io/city-generator/?name=oselotrol&population=2323&size=18&seed=6028841150321&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
322,Trimelostad,Krachter Landen,Rzh Territory,Frijdaland,Frijdaland,Daans,Slovan Deities,7330,1335.51,677.01,26.83,8.21,7,16°C,Dubrovnik (Croatia),,,citadel,,,,,{t1:argent;charges:[{charge:cancer;t:azure;p:e;size:1.5}];shield:polish},https://watabou.github.io/city-generator/?name=Trimelostad&population=7330&size=28&seed=6028841150322&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
323,Vunzestad,Grootreuse landen,Grootreuse landen,Frijdaland,Frijdaland,Daans,Slovan Deities,7049,1328.51,729.8,25.69,8.06,52,17°C,Lisbon (Portugal),,,,,,,,{t1:argent;ordinaries:[{ordinary:pallReversed;t:sable}];charges:[{charge:crossTemplar;t:argent;p:bemo;size:0.5}];shield:polish},https://watabou.github.io/city-generator/?name=Vunzestad&population=7049&size=27&seed=6028841150323&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=true&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
324,ust,Prellebergse landen,Prellebergse landen,Frijdaland,Frijdaland,Daans,Slovan Deities,1234,1281.22,749.61,25.26,7.03,12,17°C,Lisbon (Portugal),,,,,,,,{t1:argent;division:{division:gyronny;t:azure};shield:polish},https://watabou.github.io/village-generator/?pop=1234&name=&seed=6028841150324&width=1400&height=636&tags=highway%2Cfarmland%2Cno+square%2Cdense
325,ooselo,Krachter Landen,Rzh Territory,Frijdaland,Frijdaland,Noordlander,Slovan Deities,1500,1400.48,679.68,26.77,9.64,3,16°C,Dubrovnik (Croatia),,,,,,,,{t1:argent;division:{division:perPale;t:purpure;line:straight};charges:[{charge:catPassantGuardant;t:sable;p:p;t2:sable;size:0.7};{charge:duck;t:or;p:q;size:0.7}];shield:pavise},https://watabou.github.io/village-generator/?pop=1500&name=&seed=6028841150325&width=1400&height=636&tags=highway%2Cno+square%2Cdense
326,ooselobos,Krachter Landen,Rzh Territory,Frijdaland,Frijdaland,Noordlander,Slovan Deities,1102,1400.66,665.14,27.09,9.64,3,15°C,Rome (Italy),,,citadel,,plaza,,,{t1:or;division:{division:perPale;t:gules;line:archedReversed};charges:[{charge:mullet6Pierced;t:sable;p:ABCDEFGHIJKL;divided:counter;size:0.18}];shield:pavise},https://watabou.github.io/city-generator/?name=ooselobos&population=1102&size=14&seed=6028841150326&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
327,uttesteen,Krachter Landen,Rzh Territory,Frijdaland,Frijdaland,Daans,Slovan Deities,1872,1173.22,740.65,25.45,4.66,484,14°C,Washington (D.C.),,,citadel,,,,,{t1:argent;charges:[{charge:angel;t:sable;p:e;t2:sable;size:1.5}];shield:polish},https://watabou.github.io/city-generator/?name=uttesteen&population=1872&size=16&seed=929134943&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
328,smotterreus,Krachter Landen,Rzh Territory,Frijdaland,Frijdaland,Daans,Slovan Deities,7055,1182.46,756.82,25.1,4.87,484,14°C,Washington (D.C.),,,citadel,,,,,{t1:or;charges:[{charge:goutte;t:azure;p:e;size:1.5}];shield:polish},https://watabou.github.io/city-generator/?name=smotterreus&population=7055&size=27&seed=6028841150328&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
329,smoeweggestruik,Krachter Landen,Rzh Territory,Frijdaland,Frijdaland,Daans,Slovan Deities,2101,1191.18,689.05,26.57,5.06,484,13°C,Milan (Italy),,,citadel,,,,,{t1:argent;charges:[{charge:tower;t:gules;p:e;t2:gules;size:1.5}];shield:polish},https://watabou.github.io/city-generator/?name=smoeweggestruik&population=2101&size=17&seed=6028841150329&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
330,grootarkeldonk,Krachter Landen,Rzh Territory,Frijdaland,Frijdaland,Daans,Slovan Deities,3200,1217.88,688.54,26.58,5.64,541,12°C,Paris (France),,,,,,,,{t1:argent;division:{division:perBendSinister;t:sable;line:straight};charges:[{charge:inescutcheon;t:gules;p:jo;divided:counter;size:0.7}];shield:polish},https://watabou.github.io/city-generator/?name=grootarkeldonk&population=3200&size=20&seed=6028841150330&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
331,pruimelo,Krachter Landen,Rzh Territory,Frijdaland,Frijdaland,Daans,Slovan Deities,5402,1240.21,674.94,26.88,6.13,800,11°C,Antwerp (Belgium),,,citadel,,,,,{t1:argent;division:{division:perPale;t:gules;line:straight};charges:[{charge:anchor;t:azure;p:p;size:0.7};{charge:buckle;t:argent;p:q;size:0.7}];shield:polish},https://watabou.github.io/city-generator/?name=pruimelo&population=5402&size=25&seed=6028841150331&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
332,Zwijneberg,Krachter Landen,Rzh Territory,Frijdaland,Frijdaland,Daans,Slovan Deities,2365,1220.7,713.95,26.03,5.7,429,14°C,Washington (D.C.),,,,,plaza,,,{t1:argent;ordinaries:[{ordinary:bordure;t:purpure}];charges:[{charge:trefle;t:purpure;p:e;size:1.1}];shield:polish},https://watabou.github.io/city-generator/?name=Zwijneberg&population=2365&size=18&seed=6028841150332&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
333,uikerhuizen,Prellebergse landen,Prellebergse landen,Frijdaland,Frijdaland,Daans,Slovan Deities,234,1246.19,778.33,24.64,6.26,835,17°C,Lisbon (Portugal),,,,,,,,{t1:argent;charges:[{charge:cancer;t:sable;p:kn;size:0.7}];shield:polish},https://watabou.github.io/village-generator/?pop=234&name=&seed=6028841150333&width=800&height=364&tags=highway%2Cuncultivated%2Cno+square
334,trilkesteen,Prellebergse landen,Prellebergse landen,Frijdaland,Frijdaland,Daans,Slovan Deities,1402,1260.44,788.34,24.42,6.57,512,17°C,Lisbon (Portugal),,,citadel,walls,,,,{t1:argent;charges:[{charge:orb;t:azure;p:jln;t2:azure;t3:gules;size:0.7}];shield:polish},https://watabou.github.io/city-generator/?name=trilkesteen&population=1402&size=15&seed=6028841150334&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
335,brettertrol,Prellebergse landen,Prellebergse landen,Frijdaland,Frijdaland,Daans,Slovan Deities,314,1241.64,802.89,24.1,6.16,261,17°C,Lisbon (Portugal),,,citadel,,,,,{t1:argent;charges:[{charge:foot;t:purpure;p:e;size:1.5}];shield:polish},https://watabou.github.io/city-generator/?name=brettertrol&population=314&size=9&seed=6028841150335&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
336,nedertrollehuizen,Prellebergse landen,Prellebergse landen,Frijdaland,Frijdaland,Daans,Slovan Deities,5789,1274.69,819.86,23.74,6.88,164,17°C,Lisbon (Portugal),,,citadel,walls,plaza,,,{t1:purpure;charges:[{charge:bee;t:argent;p:jlh;t2:argent;t3:argent;size:0.7}];shield:polish},https://watabou.github.io/city-generator/?name=nedertrollehuizen&population=5789&size=25&seed=6028841150336&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
337,zettertrol,Prellebergse landen,Prellebergse landen,Frijdaland,Frijdaland,Daans,Slovan Deities,2345,1284.69,791.37,24.35,7.1,377,17°C,Lisbon (Portugal),,,citadel,,,,,{t1:argent;ordinaries:[{ordinary:gore;t:azure}];charges:[{charge:pike;t:gules;p:e;t2:gules;size:1.5}];shield:polish},https://watabou.github.io/city-generator/?name=zettertrol&population=2345&size=18&seed=6028841150337&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
338,Arettetrol,Prellebergse landen,Prellebergse landen,Frijdaland,Frijdaland,Daans,Slovan Deities,7352,1260.71,800.27,24.16,6.58,512,17°C,Lisbon (Portugal),,,,,plaza,,,{t1:argent;charges:[{charge:axe;t:gules;p:e;t2:gules;size:1.5}];shield:polish},https://watabou.github.io/city-generator/?name=Arettetrol&population=7352&size=28&seed=6028841150338&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
339,eekgat,Krachter Landen,Rzh Territory,Frijdaland,Frijdaland,Daans,Slovan Deities,245,1158.02,705.07,26.22,4.33,484,14°C,Washington (D.C.),,,citadel,,,,,{t1:or;division:{division:perPale;t:chequy-argent-vert;line:straight};ordinaries:[{ordinary:point;t:gules}];shield:polish},https://watabou.github.io/city-generator/?name=eekgat&population=245&size=8&seed=6028841150339&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
340,eemelo,Krachter Landen,Rzh Territory,Frijdaland,Frijdaland,Daans,Slovan Deities,2037,1171.62,710.44,26.11,4.63,484,14°C,Washington (D.C.),,,citadel,,,,,{t1:vert;ordinaries:[{ordinary:terrace;t:argent;line:straight}];shield:polish},https://watabou.github.io/city-generator/?name=eemelo&population=2037&size=17&seed=6028841150340&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=true&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
341,builkedam,Krachter Landen,Rzh Territory,Frijdaland,Frijdaland,Daans,Slovan Deities,3451,1182.01,696.48,26.41,4.86,484,13°C,Milan (Italy),,,,,,,,{t1:barry-argent-purpure;division:{division:perCross;t:vert;line:straight};shield:polish},https://watabou.github.io/city-generator/?name=builkedam&population=3451&size=21&seed=6028841150341&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
342,hoogossendam,Krachter Landen,Rzh Territory,Frijdaland,Frijdaland,Daans,Slovan Deities,2373,1188.81,714.02,26.03,5.01,484,14°C,Washington (D.C.),,,,,plaza,,,{t1:argent;charges:[{charge:serpent;t:azure;p:e;t2:azure;size:1.5}];shield:polish},https://watabou.github.io/city-generator/?name=hoogossendam&population=2373&size=18&seed=6028841150342&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
343,Losberg,Vroomse landen,Vroomse landen,Frijdaland,Frijdaland,Daans,Slovan Deities,2361,1255.82,570.48,29.14,6.47,456,11°C,Antwerp (Belgium),,,,,,,,{t1:argent;charges:[{charge:mastiffStatant;t:purpure;p:e;t2:purpure;t3:sable;size:1.5}];shield:polish},https://watabou.github.io/city-generator/?name=Losberg&population=2361&size=18&seed=6028841150343&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
344,drolhuizen,Vroomse landen,Vroomse landen,Frijdaland,Frijdaland,Daans,Slovan Deities,1466,1268.1,530.4,30.01,6.74,75,13°C,Milan (Italy),,,citadel,,,,,{t1:or;ordinaries:[{ordinary:canton;t:gules}];charges:[{charge:fleurDeLis;t:argent;p:y;size:0.5}];shield:polish},https://watabou.github.io/city-generator/?name=drolhuizen&population=1466&size=15&seed=6028841150344&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
345,kromelodam,Vroomse landen,Vroomse landen,Frijdaland,Frijdaland,Daans,Slovan Deities,2408,1270.74,544.67,29.7,6.8,403,11°C,Antwerp (Belgium),,,citadel,,,,,{t1:gules;charges:[{charge:inescutcheon;t:argent;p:e;size:1.5};{charge:wheel;t:gules;p:e;size:0.75}];shield:polish},https://watabou.github.io/city-generator/?name=kromelodam&population=2408&size=18&seed=6028841150345&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
